"SpeciesOriginal";"Species";"Status";"cryptogenic";"data-deficient";"non-indigenous"
"Abudefduf vaigiensis (Quoy & Gaimard, 1825)";"Abudefduf vaigiensis";"non-indigenous";;;"IT"
"Acanthaster planci (Linnaeus, 1758)";"Acanthaster planci";"non-indigenous";;;"FR"
"Acanthophora nayadiformis (Delile) Papenfuss, 1968";"Acanthophora nayadiformis";"cryptogenic";"CY,FR,EL,IT,MT";;
"Acanthurus coeruleus Bloch & Schneider, 1801";"Acanthurus coeruleus";"non-indigenous";;;"CY"
"Acanthurus monroviae Steindachner, 1876";"Acanthurus monroviae";"non-indigenous";;;"PT"
"Acartia (Acanthacartia) tonsa Dana, 1849";"Acartia (Acanthacartia) tonsa";"non-indigenous";;;"BE,BG,DK,EE,FI,FR,DE,EL,IT,LV,LT,NL,PL,PT,RO,ES,SE,UK"
"Acartia (Acartiura) margalefi Alcaraz, 1976";"Acartia (Acartiura) margalefi";"data-deficient";;"UK";
"Acartia (Acartiura) omorii Bradford, 1976";"Acartia (Acartiura) omorii";"non-indigenous";;;"FR"
"Acipenser baerii Brandt, 1869";"Acipenser baerii";"non-indigenous";;;"EE,DE,PL"
"Acipenser gueldenstaedtii Brandt & Ratzeburg, 1833";"Acipenser gueldenstaedtii";"non-indigenous";;;"EE,DE,LV,PL,SE"
"Acipenser ruthenus Linnaeus, 1758";"Acipenser ruthenus";"non-indigenous";;;"DK,LV,SE"
"Acipenser stellatus Pallas, 1771";"Acipenser stellatus";"non-indigenous";;;"DK"
"Acipenser transmontanus Richardson, 1836";"Acipenser transmontanus";"non-indigenous";;;"DE"
"Acrochaetium catenulatum M.A.Howe, 1914";"Acrochaetium catenulatum";"non-indigenous";;;"NL"
"Acromegalomma claparedei (Gravier, 1906)";"Acromegalomma claparedei";"data-deficient";;"IT";
"Acrothamnion preissii (Sonder) E.M.Wollaston, 1968";"Acrothamnion preissii";"non-indigenous";;;"HR,FR,IT,PT,ES"
"Acrothrix gracilis Kylin, 1907";"Acrothrix gracilis";"non-indigenous";;;"FR"
"Acteocina mucronata (Philippi, 1849)";"Acteocina mucronata";"non-indigenous";;;"CY,EL"
"Actumnus globulus Heller, 1861";"Actumnus globulus";"non-indigenous";;;"IT"
"Aetea anguina (Linnaeus, 1758)";"Aetea anguina";"non-indigenous";;;"ES"
"Aetea ligulata Busk, 1852";"Aetea ligulata";"non-indigenous";;;"ES"
"Aetea longicollis (Jullien, 1903)";"Aetea longicollis";"non-indigenous";;;"ES"
"Aetea sica (Couch, 1844)";"Aetea sica";"non-indigenous";;;"ES"
"Aetea truncata (Landsborough, 1852)";"Aetea truncata";"non-indigenous";;;"ES"
"Agardhiella subulata (C.Agardh) Kraft & M.J.Wynne, 1979";"Agardhiella subulata";"non-indigenous";;;"FR,IT,NL,UK"
"Aglaothamnion cordatum (Børgesen) Feldmann-Mazoyer 1941";"Aglaothamnion cordatum";"non-indigenous";;;"PT"
"Aglaothamnion feldmanniae Halos, 1965";"Aglaothamnion feldmanniae";"non-indigenous";;;"FR,IT,ES"
"Aglaothamnion halliae (F.S.Collins) N.E.Aponte, D.L.Ballantine & J.N.Norris, 1997";"Aglaothamnion halliae";"non-indigenous";;;"DK,DE,SE"
"Agonus cataphractus (Linnaeus, 1758)";"Agonus cataphractus";"non-indigenous";;;"IT"
"Ahnfeltiopsis flabelliformis (Harvey) Masuda, 1993";"Ahnfeltiopsis flabelliformis";"non-indigenous";;;"FR"
"Aiptasia diaphana (Rapp, 1829)";"Aiptasia diaphana";"non-indigenous";;;"PT"
