"locality";"locationID";"higherGeography";"MRGID";"placeType";"latitude";"longitude";"minLongitude";"maxLongitude";"minLatitude";"maxLatitude"
"Belgian Exclusive Economic Zone";"http://marineregions.org/mrgid/3293";"North Sea";3293;"EEZ";"51.46545";"2.70504";"2.23833";"3.3704";"51.08931";"51.87611"
"Belgian Exclusive Economic Zone";"http://marineregions.org/mrgid/3293";"Belgium";3293;"EEZ";"51.46545";"2.70504";"2.23833";"3.3704";"51.08931";"51.87611"
"Westerschelde";"http://marineregions.org/mrgid/4752";"North Sea";4752;"Estuary";"51.39613";"3.88238";"3.52026";"4.2445";"51.3299";"51.46237"
"European waters (ERMS scope)";"http://marineregions.org/mrgid/7130";"North Atlantic Ocean";7130;"General Sea Area";"56";"6";"-45";"70";"26";"90"
"World Oceans";"http://marineregions.org/mrgid/1901";;1901;"World";"0";"0";"-179.9999999999";"179.9999999999";"-85";"85"
"Banc d'Arguin";"http://marineregions.org/mrgid/5071";"North Atlantic Ocean";5071;"Bank";"20.366667";"-17";;;;
"Blankenberge";"http://marineregions.org/mrgid/31";"Belgium";31;"Town";"51.29988";"3.140602";"3.104263";"3.176941";"51.27636";"51.32341"
"De Panne";"http://marineregions.org/mrgid/92";"Belgium";92;"Town";"51.07809";"2.58991";"2.545422";"2.634398";"51.04628";"51.10989"
"Koksijde";"http://marineregions.org/mrgid/91";"Belgium";91;"Town";"51.11299";"2.680961";"2.60478";"2.757141";"51.08135";"51.14463"
"Bredene";"http://marineregions.org/mrgid/66";"Belgium";66;"Town";"51.2374";"2.978023";"2.942895";"3.013151";"51.21441";"51.2604"
"Oostende";"http://marineregions.org/mrgid/25";"Belgium";25;"Arrondissement";"51.18449";"2.931045";"2.74692";"3.11517";"51.05479";"51.31418"
"Red Sea";"http://marineregions.org/mrgid/4264";"Red Sea";4264;"IHO Sea Area";"20.3157309608";"38.73504211248";"33.63937130978";"43.50552117856";"12.45626235033";"28.13954293736"
"Oostduinkerke";"http://marineregions.org/mrgid/14804";"Belgium";14804;"Deelgemeente";"51.11667";"2.68333";;;;
"Muuga harbour (Port of Tallinn, Gulf of Finland)";"http://marineregions.org/mrgid/14624";"Estonia";14624;"Harbour";"59.4463";"24.7708";;;;
"Europe";"http://marineregions.org/mrgid/1920";;1920;"Continent";"58.39124";"18.82117";"-31.28903";"68.93137";"34.93055";"81.85193"
"Canadian Exclusive Economic Zone [Arctic part]";"http://marineregions.org/mrgid/8776";"Canada";8776;"Marine Region";"70.435512";"-87.860588";"-141.17";"-56.09";"51.21";"85.09"
"Arctic Ocean";"http://marineregions.org/mrgid/1906";"Arctic Ocean";1906;"IHO Sea Area";"84.8648860275";"-5.20258346295";"-180";"180";"71.38751180117";"90"
"North West Atlantic";"http://marineregions.org/mrgid/7135";"North Atlantic Ocean";7135;"General Sea Area";"55";"-57";;;;
"North Sea";"http://marineregions.org/mrgid/2350";"North Sea";2350;"IHO Sea Area";"56.4239952035";"2.73786023593";"-4.44537067412";"12.00594234456";"50.99536466555";"61.01702284843"
"North East Atlantic";"http://marineregions.org/mrgid/5664";"North Atlantic Ocean";5664;"General Sea Area";"46";"-20";;;;
"Birkenfels (shipwreck)";"http://marineregions.org/mrgid/17401";"North Sea";17401;"Wreck";"51.389";"2.32";;;;
"Birkenfels (shipwreck)";"http://marineregions.org/mrgid/17401";"Belgium";17401;"Wreck";"51.389";"2.32";;;;
"Oosterschelde";"http://marineregions.org/mrgid/5332";"North Sea";5332;"Inlet";"51.56081";"3.95285";"3.68266";"4.22304";"51.43094";"51.69068"
