"Species";"n";"Table";"Phylum";"Note";"Updated"
"Aeolidacea indet.";2;"Bottom Vegetation";"";"";"2019-11-19"
"Alcyonidae sp.";5;"Bottom Vegetation";"";"";"2019-11-19"
"Andre grønalger";1;"Bottom Vegetation";"";"";"2019-11-19"
"Angiospermae sp.";2;"Bottom Vegetation";"";"";"2019-11-19"
"Batrachium baudotii";375;"Bottom Vegetation";"";"";"2019-11-19"
"Batracium circinatum";27;"Bottom Vegetation";"";"";"2019-11-19"
"Blomsterplanter, uspec.";92;"Bottom Vegetation";"";"";"2019-11-19"
"Blågrøn";103;"Bottom Vegetation";"";"";"2019-11-19"
"Blågrønalger og bakterier";118;"Bottom Vegetation";"";"";"2019-11-19"
"Bonnemaisonia / Spermothamnion";72;"Bottom Vegetation";"";"";"2019-11-19"
"Brown bush";231;"Bottom Vegetation";"";"";"2019-11-19"
"Brown crust";6567;"Bottom Vegetation";"";"";"2019-11-19"
"Brunskorper sp.";2876;"Bottom Vegetation";"";"";"2019-11-19"
"Coccotylus / Phyllophora";2096;"Bottom Vegetation";"";"";"2019-11-19"
"Codiolum stage";1;"Bottom Vegetation";"";"";"2019-11-19"
"Conchocelis phase";103;"Bottom Vegetation";"";"";"2019-11-19"
"Enårige trådformede grøn-";22;"Bottom Vegetation";"";"Split ODA entry: 'Enårige trådformede grøn-/brunalger'";"2019-11-19"
"brunalger";22;"Bottom Vegetation";"";"Split ODA entry: 'Enårige trådformede grøn-/brunalger'";"2019-11-19"
"fasthæftede oprette alger";5;"Bottom Vegetation";"";"";"2019-11-19"
"Fedtmøg - Pilayella, Ectocarpus";986;"Bottom Vegetation";"";"";"2019-11-19"
"Fingrenet grøn busk";14;"Bottom Vegetation";"";"";"2019-11-19"
"Fucophyceae indet.";4;"Bottom Vegetation";"";"";"2019-11-19"
"Green endophyte";31;"Bottom Vegetation";"";"";"2019-11-19"
"Green endozoic";1;"Bottom Vegetation";"";"";"2019-11-19"
"Grønalger kalkborende";4;"Bottom Vegetation";"";"";"2019-11-19"
"Gulgrøn";1;"Bottom Vegetation";"";"";"2019-11-19"
"Ingen arter registreret";3;"Bottom Vegetation";"";"";"2019-11-19"
"Kiselalger";40;"Bottom Vegetation";"";"";"2019-11-19"
"Lacuna divaricata";50;"Bottom Vegetation";"";"";"2019-11-19"
"løstliggende alger";5;"Bottom Vegetation";"";"";"2019-11-19"
"muslinge ånderør sp.";142;"Bottom Vegetation";"";"";"2019-11-19"
"Nostocophyceae";130;"Bottom Vegetation";"";"";"2019-11-19"
"Nuphar lutea";11;"Bottom Vegetation";"";"";"2019-11-19"
"Nymphaea alba";1;"Bottom Vegetation";"";"";"2019-11-19"
"Obeliinae sp.";70;"Bottom Vegetation";"";"";"2019-11-19"
"polychaet sandrør sp.";10;"Bottom Vegetation";"";"";"2019-11-19"
