"Species";"Table";"Phylum";"Note"
"Abietinaria abietina";"Bottom Vegetation";;
"Abranchus microstomus";"Bottom Vegetation";;
"Acanthocottus scorpius";"Bottom Vegetation";;
"Acanthodoris pilosa";"Bottom Vegetation";;
"Acinetospora crinita";"Bottom Vegetation";;
"Acmaea sp.";"Bottom Vegetation";;
"Acmaea testudinalis";"Bottom Vegetation";;
"Acmaea virginea";"Bottom Vegetation";;
"Acrchaetium savianum";"Bottom Vegetation";;
"Acrochaete heteroclada";"Bottom Vegetation";;
"Acrochaete repens";"Bottom Vegetation";;
"Acrochaete sp.";"Bottom Vegetation";;
"Acrochaete viridis";"Bottom Vegetation";;
"Acrochaete wittrockii";"Bottom Vegetation";;
"Acrochaetiaceae sp.";"Bottom Vegetation";;
"Acrochaetium attenuatum";"Bottom Vegetation";;
"Acrochaetium balticum";"Bottom Vegetation";;
"Acrochaetium daviesii";"Bottom Vegetation";;
"Acrochaetium gynandrum";"Bottom Vegetation";;
"Acrochaetium hallandicum";"Bottom Vegetation";;
"Acrochaetium humile";"Bottom Vegetation";;
"Acrochaetium leptonema";"Bottom Vegetation";;
"Acrochaetium macula";"Bottom Vegetation";;
"Acrochaetium moniliforme";"Bottom Vegetation";;
"Acrochaetium parvulum";"Bottom Vegetation";;
"Acrochaetium polyblastum";"Bottom Vegetation";;
"Acrochaetium reductum";"Bottom Vegetation";;
"Acrochaetium rhipidandrum";"Bottom Vegetation";;
"Acrochaetium secundatum tetrasporophyte";"Bottom Vegetation";;
"Acrochaetium sp.";"Bottom Vegetation";;
"Acrochaetium strictum";"Bottom Vegetation";;
"Acrochaetium thuretii";"Bottom Vegetation";;
"Acrochaetium virgatulum";"Bottom Vegetation";;
"Acrosiphonia arcta";"Bottom Vegetation";;
"Acrosiphonia centralis";"Bottom Vegetation";;
"Acrosiphonia sonderi";"Bottom Vegetation";;
"Acrosiphonia sp.";"Bottom Vegetation";;
"Acrosorium reptans";"Bottom Vegetation";;
"Acrothrix gracilis";"Bottom Vegetation";;
"Actinia sp.";"Bottom Vegetation";;
"Actiniaria indet.";"Bottom Vegetation";;
"Aeolidacea indet.";"Bottom Vegetation";;
"Aeolidia papillosa";"Bottom Vegetation";;
"Aetea truncata";"Bottom Vegetation";;
"Aglaothamnion bipinnatum";"Bottom Vegetation";;
"Aglaothamnion byssoides";"Bottom Vegetation";;
"Aglaothamnion hookeri";"Bottom Vegetation";;
"Aglaothamnion roseum";"Bottom Vegetation";;
"Aglaothamnion sp.";"Bottom Vegetation";;
"Agonus cataphractus";"Bottom Vegetation";;
"Ahnfeltia plicata";"Bottom Vegetation";;
"Alaria esculenta";"Bottom Vegetation";;
"Alcyonidae sp.";"Bottom Vegetation";;
"Alcyonidium diaphanum";"Bottom Vegetation";;
"Alcyonidium gelatinosum";"Bottom Vegetation";;
"Alcyonidium hirsutum";"Bottom Vegetation";;
"Alcyonidium mytili";"Bottom Vegetation";;
"Alcyonidium parasiticum";"Bottom Vegetation";;
"Alcyonidium polyoum";"Bottom Vegetation";;
"Alcyonidium sp.";"Bottom Vegetation";;
"Alcyonium digitatum";"Bottom Vegetation";;
"Alentia gelatinosa";"Bottom Vegetation";;
"Algae sp.";"Bottom Vegetation";;
"Ampharete sp.";"Bottom Vegetation";;
"Ampharetidae";"Bottom Vegetation";;
"Amphipoda";"Bottom Vegetation";;
"Amphiporus bioculatus";"Bottom Vegetation";;
"Amphithoe rubricata";"Bottom Vegetation";;
"Amphitrite cirrata";"Bottom Vegetation";;
"Amphiura filiformis";"Bottom Vegetation";;
"Amphiura sp.";"Bottom Vegetation";;
"Anabaena sp.";"Bottom Vegetation";;
"Anabaena torulosa";"Bottom Vegetation";;
"Anaitides maculata";"Bottom Vegetation";;
"Andre grønalger";"Bottom Vegetation";;
"Angiospermae sp.";"Bottom Vegetation";;
"Anomia sp.";"Bottom Vegetation";;
"Anomia squamula";"Bottom Vegetation";;
"Ansates pellucida";"Bottom Vegetation";;
"Anthinoella sarsi";"Bottom Vegetation";;
"Anthozoa";"Bottom Vegetation";;
"Anthozoa indet.";"Bottom Vegetation";;
"Antithamnieae indet.";"Bottom Vegetation";;
"Antithamnion boreale";"Bottom Vegetation";;
"Antithamnion cruciatum";"Bottom Vegetation";;
"Antithamnion plumula";"Bottom Vegetation";;
"Antithamnion villosum";"Bottom Vegetation";;
"Antithamnionella floccosa";"Bottom Vegetation";;
"Antithamnionella sp.";"Bottom Vegetation";;
"Antithamnionella ternifolia";"Bottom Vegetation";;
"Aonides paucibranchiata";"Bottom Vegetation";;
"Aoridae";"Bottom Vegetation";;
"Apherusa bispinosa";"Bottom Vegetation";;
"Apherusa cirrus";"Bottom Vegetation";;
"Apherusa jurinei";"Bottom Vegetation";;
"Apherusa ovalipes";"Bottom Vegetation";;
"Apherusa tridentata";"Bottom Vegetation";;
"Aplysia punctata";"Bottom Vegetation";;
"Apoglossum ruscifolium";"Bottom Vegetation";;
"Aporrhais pespelicani";"Bottom Vegetation";;
"Archaeogastropoda sp.";"Bottom Vegetation";;
"Arctica islandica";"Bottom Vegetation";;
"Arenicola marina";"Bottom Vegetation";;
"Arthrocladia villosa";"Bottom Vegetation";;
"Ascidiacea indet.";"Bottom Vegetation";;
"Ascidiella aspersa";"Bottom Vegetation";;
"Ascidiella scabra";"Bottom Vegetation";;
"Ascophyllum nodosum";"Bottom Vegetation";;
"Asperococcus bullosus";"Bottom Vegetation";;
"Asperococcus fistulosus";"Bottom Vegetation";;
"Asperococcus turneri";"Bottom Vegetation";;
"Astarte borealis";"Bottom Vegetation";;
"Astarte sulcata";"Bottom Vegetation";;
"Asterias rubens";"Bottom Vegetation";;
"Asterocytis ramosa";"Bottom Vegetation";;
"Asteroidea indet.";"Bottom Vegetation";;
"Atylus swammerdami";"Bottom Vegetation";;
"Audouinella daviesii";"Bottom Vegetation";;
"Audouinella efflorescens";"Bottom Vegetation";;
"Audouinella membranacea";"Bottom Vegetation";;
"Audouinella pectinata";"Bottom Vegetation";;
"Audouinella secundata";"Bottom Vegetation";;
"Audouinella sp.";"Bottom Vegetation";;
"Aurelia aurita";"Bottom Vegetation";;
"Autolytus sp.";"Bottom Vegetation";;
"Balanidae";"Bottom Vegetation";;
"Balanus balanoides";"Bottom Vegetation";;
"Balanus balanus";"Bottom Vegetation";;
"Balanus crenatus";"Bottom Vegetation";;
"Balanus improvisus";"Bottom Vegetation";;
"Balanus sp.";"Bottom Vegetation";;
"Bangia atropurpurea";"Bottom Vegetation";;
"Bangiophyceae indet.";"Bottom Vegetation";;
"Barentsia gracilis";"Bottom Vegetation";;
"Bathyporeia elegans";"Bottom Vegetation";;
"Bathyporeia guilliamsoniana";"Bottom Vegetation";;
"Bathyporeia pilosa";"Bottom Vegetation";;
"Bathyporeia sarsi";"Bottom Vegetation";;
"Batrachium baudotii";"Bottom Vegetation";;
"Batracium circinatum";"Bottom Vegetation";;
"Beggiatoa alba";"Bottom Vegetation";;
"Beggiatoa sp.";"Bottom Vegetation";;
"Bittium reticulatum";"Bottom Vegetation";;
"Bivalvia indet.";"Bottom Vegetation";;
"Blastophysa rhizopus";"Bottom Vegetation";;
"Blidingia marginata";"Bottom Vegetation";;
"Blidingia minima";"Bottom Vegetation";;
"Blomsterplanter, uspec.";"Bottom Vegetation";;
"Blågrøn";"Bottom Vegetation";;
"Blågrønalger og bakterier";"Bottom Vegetation";;
"Bolbocoleon piliferum";"Bottom Vegetation";;
"Bonnemaisonia / Spermothamnion";"Bottom Vegetation";;
"Bonnemaisonia asparagoides";"Bottom Vegetation";;
"Bonnemaisonia hamifera";"Bottom Vegetation";;
"Botryllus schlosseri";"Bottom Vegetation";;
"Bougainvillia ramosa";"Bottom Vegetation";;
"Bowerbankia imbricata";"Bottom Vegetation";;
"Brongniartella byssoides";"Bottom Vegetation";;
"Brown bush";"Bottom Vegetation";;
"Brown crust";"Bottom Vegetation";;
"Brunskorper sp.";"Bottom Vegetation";;
"Bryopsis corymbosa";"Bottom Vegetation";;
"Bryopsis hypnoides non";"Bottom Vegetation";;
"Bryopsis plumosa";"Bottom Vegetation";;
"Bryopsis sp.";"Bottom Vegetation";;
"Bryozoa";"Bottom Vegetation";;
"Bryozoa indet.";"Bottom Vegetation";;
"Buccinum sp.";"Bottom Vegetation";;
"Buccinum undatum";"Bottom Vegetation";;
"Buccinum undatum (æg)";"Bottom Vegetation";;
"Buskia nitens";"Bottom Vegetation";;
"Calcispongiae";"Bottom Vegetation";;
"Calicella syringa";"Bottom Vegetation";;
"Callionymus sp.";"Bottom Vegetation";;
"Calliopius laeviusculus";"Bottom Vegetation";;
"Calliopius rathkei";"Bottom Vegetation";;
"Callithamniella tingitana";"Bottom Vegetation";;
"Callithamnion bipinnatum";"Bottom Vegetation";;
"Callithamnion brodiaei";"Bottom Vegetation";;
"Callithamnion byssoides";"Bottom Vegetation";;
"Callithamnion corymbosum";"Bottom Vegetation";;
"Callithamnion hookeri";"Bottom Vegetation";;
"Callithamnion sp.";"Bottom Vegetation";;
"Callithamnion tetragonum";"Bottom Vegetation";;
"Callitriche sp.";"Bottom Vegetation";;
"Callocolax neglectus";"Bottom Vegetation";;
"Callophyllis cristata";"Bottom Vegetation";;
"Callophyllis laciniata";"Bottom Vegetation";;
"Callopora aurita";"Bottom Vegetation";;
"Callopora craticula";"Bottom Vegetation";;
"Callopora lineata";"Bottom Vegetation";;
"Calothrix aeruginea";"Bottom Vegetation";;
"Calothrix confervicola";"Bottom Vegetation";;
"Calothrix contarenii";"Bottom Vegetation";;
"Calothrix scopulorum";"Bottom Vegetation";;
"Calothrix sp.";"Bottom Vegetation";;
"Campanularia johnstoni";"Bottom Vegetation";;
"Campanulariidae indet.";"Bottom Vegetation";;
"Campanulina lacerata";"Bottom Vegetation";;
"Cancer pagurus";"Bottom Vegetation";;
"Capitella capitata";"Bottom Vegetation";;
"Capitella sp.";"Bottom Vegetation";;
"Capitomastus minimus";"Bottom Vegetation";;
"Caprella acanthifera";"Bottom Vegetation";;
"Caprella linearis";"Bottom Vegetation";;
"Caprella loveni";"Bottom Vegetation";;
"Caprella microtuberculata";"Bottom Vegetation";;
"Caprella punctata";"Bottom Vegetation";;
"Caprella septentrionalis";"Bottom Vegetation";;
"Caprella sp.";"Bottom Vegetation";;
"Capsosiphon fulvescens";"Bottom Vegetation";;
"Carcinus maenas";"Bottom Vegetation";;
"Cardium edule";"Bottom Vegetation";;
"Cardium ovale";"Bottom Vegetation";;
"Cardium sp.";"Bottom Vegetation";;
